instance,algorithm,variable_heuristic,time,nodes,arc_revisions,solution
instances/10Queens.csp,fc,asc,.143366517,150,109,0 2 5 7 9 4 8 1 3 6
instances/10Queens.csp,fc,sdf,.130611854,10,10,0 2 4 1 3 3 1 6 1 5
instances/10Queens.csp,mac,asc,.161268185,50,251,0 2 5 7 9 4 8 1 3 6
instances/10Queens.csp,mac,sdf,.161354715,146,237,0 2 5 8 6 9 3 1 4 7
instances/4Queens.csp,fc,asc,.081777283,12,10,1 3 0 2
instances/4Queens.csp,fc,sdf,.098780562,12,10,1 3 0 2
instances/4Queens.csp,mac,asc,.102301818,6,18,1 3 0 2
instances/4Queens.csp,mac,sdf,.099157681,6,18,1 3 0 2
instances/6Queens.csp,fc,asc,.123791956,46,34,1 3 5 0 2 4
instances/6Queens.csp,fc,sdf,.122854661,46,34,1 3 5 0 2 4
instances/6Queens.csp,mac,asc,.123755808,18,74,1 3 5 0 2 4
instances/6Queens.csp,mac,sdf,.104889640,20,74,1 3 5 0 2 4
instances/8Queens.csp,fc,asc,.130097522,152,115,0 4 7 5 2 6 1 3
instances/8Queens.csp,fc,sdf,.117409357,8,8,0 2 4 1 3 3 1 6
instances/8Queens.csp,mac,asc,.133061271,62,226,0 4 7 5 2 6 1 3
instances/8Queens.csp,mac,sdf,.144538066,110,242,0 4 7 5 2 6 1 3
instances/FinnishSudoku.csp,fc,asc,71.934784888,218711,173713,8 1 2 7 5 3 6 4 9 9 4 3 6 8 2 1 7 5 6 7 5 4 9 1 2 8 3 1 5 4 2 3 7 8 9 6 3 6 9 8 4 5 7 2 1 2 8 7 1 6 9 5 3 4 5 2 1 9 7 4 3 6 8 4 3 8 5 2 6 9 1 7 7 9 6 3 1 8 4 5 2
instances/FinnishSudoku.csp,fc,sdf,.246179420,81,81,8 1 2 3 4 5 6 7 9 3 4 3 6 1 2 4 5 7 1 7 1 2 9 2 2 3 4 2 5 2 1 3 7 4 1 3 1 3 4 1 4 5 7 1 2 1 3 6 1 2 3 4 3 5 3 1 1 3 3 2 5 6 8 4 2 8 5 1 2 3 1 4 3 9 2 3 6 4 4 2 3
