instance,algorithm,variable_heuristic,time,nodes,arc_revisions,solution
instances/10Queens.csp,fc,asc,.143234592,150,109,0 2 5 7 9 4 8 1 3 6
instances/10Queens.csp,fc,sdf,.124799116,10,10,0 2 4 1 3 3 1 6 1 5
instances/10Queens.csp,mac,asc,.160007618,50,251,0 2 5 7 9 4 8 1 3 6
instances/10Queens.csp,mac,sdf,.157309261,146,237,0 2 5 8 6 9 3 1 4 7
instances/4Queens.csp,fc,asc,.094122363,12,10,1 3 0 2
instances/4Queens.csp,fc,sdf,.091625281,12,10,1 3 0 2
instances/4Queens.csp,mac,asc,.103233642,6,18,1 3 0 2
instances/4Queens.csp,mac,sdf,.101514247,6,18,1 3 0 2
instances/6Queens.csp,fc,asc,.119665288,46,34,1 3 5 0 2 4
instances/6Queens.csp,fc,sdf,.140195046,46,34,1 3 5 0 2 4
instances/6Queens.csp,mac,asc,.120079084,18,74,1 3 5 0 2 4
instances/6Queens.csp,mac,sdf,.123154980,20,74,1 3 5 0 2 4
instances/8Queens.csp,fc,asc,.133726172,152,115,0 4 7 5 2 6 1 3
instances/8Queens.csp,fc,sdf,.118546487,8,8,0 2 4 1 3 3 1 6
instances/8Queens.csp,mac,asc,.138058229,62,226,0 4 7 5 2 6 1 3
instances/8Queens.csp,mac,sdf,.135874950,110,242,0 4 7 5 2 6 1 3
instances/FinnishSudoku.csp,fc,asc,71.141007022,218711,173713,8 1 2 7 5 3 6 4 9 9 4 3 6 8 2 1 7 5 6 7 5 4 9 1 2 8 3 1 5 4 2 3 7 8 9 6 3 6 9 8 4 5 7 2 1 2 8 7 1 6 9 5 3 4 5 2 1 9 7 4 3 6 8 4 3 8 5 2 6 9 1 7 7 9 6 3 1 8 4 5 2
instances/FinnishSudoku.csp,fc,sdf,.244069164,81,81,8 1 2 3 4 5 6 7 9 3 4 3 6 1 2 4 5 7 1 7 1 2 9 2 2 3 4 2 5 2 1 3 7 4 1 3 1 3 4 1 4 5 7 1 2 1 3 6 1 2 3 4 3 5 3 1 1 3 3 2 5 6 8 4 2 8 5 1 2 3 1 4 3 9 2 3 6 4 4 2 3
instances/FinnishSudoku.csp,mac,asc,3.243035819,5837,16645,8 1 2 7 5 3 6 4 9 9 4 3 6 8 2 1 7 5 6 7 5 4 9 1 2 8 3 1 5 4 2 3 7 8 9 6 3 6 9 8 4 5 7 2 1 2 8 7 1 6 9 5 3 4 5 2 1 9 7 4 3 6 8 4 3 8 5 2 6 9 1 7 7 9 6 3 1 8 4 5 2
instances/FinnishSudoku.csp,mac,sdf,2.206242420,6482,10567,
instances/langfords2_3.csp,fc,asc,.110372457,18,16,2 4 3 6 1 5
instances/langfords2_3.csp,fc,sdf,.106638345,18,16,2 4 3 6 1 5
instances/langfords2_3.csp,mac,asc,.118947660,10,36,2 4 3 6 1 5
instances/langfords2_3.csp,mac,sdf,.120794156,16,39,3 5 1 4 2 6
instances/langfords2_4.csp,fc,asc,.133160845,56,47,2 4 5 8 3 7 1 6
instances/langfords2_4.csp,fc,sdf,.119725867,162,141,2 4 5 6 7 7 3 8
instances/langfords2_4.csp,mac,asc,.130412969,28,85,2 4 5 8 3 7 1 6
instances/langfords2_4.csp,mac,sdf,.131429916,42,120,5 7 1 4 2 6 3 8
